"IDSCHOOL","IDTEACH","TT3G01","TCHAGEGR","T3JOBSA","T3WLOAD","T3SELF","SCHLOC","T3PLACRE"
"3059","305907","1","6",9.89547131521672,5.9649846515375,12.4098620233895,"3","2"
"3059","305908","1","5",12.6463774026311,10.0752978089857,11.6600875945811,"3","2"
"3059","305909","1","6",11.9615972355403,6.50958993902928,15.5092644957646,"3","2"
"3059","305910","1","6",11.766757150897,9.239339898556,12.4613972515127,"3","2"
"3059","305911","1","6",14.4712129871782,10.4383680006469,15.0300736160925,"3","2"
"3059","305912","1","3",14.9369164200495,10.1851153360931,13.5562390789596,"3","2"
"3059","305913","1","4",11.5439543638546,11.0434849867489,11.2662537037369,"3","2"
"3059","305914","1","4",NA,NA,NA,"3","2"
"3059","305915","1","5",11.3765303042273,10.5616325718899,12.8894822238412,"3","2"
"3059","305916","1","6",12.9364382365905,9.3782926879572,12.7153005449837,"3","2"
"3059","305917","1","4",13.1794719732846,6.63285451027227,13.6641493871707,"3","2"
"3059","305918","1","4",14.398432830735,7.38140663382064,11.195317916988,"3","2"
"3059","305919","1","5",12.5246925628874,6.81663078012547,12.6126457098434,"3","2"
"3060","306002","1","4",11.1872123291103,9.362604469799,12.6340859829791,"2","2"
"3060","306003","1","5",14.6938826833554,9.6651629628499,13.5366192472796,"2","2"
"3060","306004","1","4",11.3765303042273,8.84713444460098,15.1156097708794,"2","2"
"3060","306005","2","4",11.7332723389716,9.5463807396521,11.2662537037369,"2","2"
"3060","306008","2","3",11.3765303042273,9.00177545216037,11.2662537037369,"2","2"
"3060","306009","2","6",12.0084912419403,7.43071246231784,15.5092644957646,"2","2"
"3060","306010","1","4",11.1872123291103,10.2837269930875,NA,"2","2"
"3060","306011","2","5",12.391377681045,8.84713444460098,13.5381656945743,"2","2"
"3060","306012","1","5",12.7206874340472,14.3066343636543,13.5932067168423,"2","2"
"3060","306013","1","3",13.1122139263677,5.9649846515375,13.6833063200991,"2","2"
"3060","306014","1","4",11.3765303042273,8.84713444460098,11.2662537037369,"2","2"
"3060","306015","1","5",12.4340447351125,11.7023901493933,11.5703495523718,"2","2"
"3060","306016","1","5",13.1122139263677,6.27202549263369,11.2662537037369,"2","2"
